Production_Hours,Workforce_Size,Machine_Efficiency,Raw_Materials_Cost,Maintenance_Hours,Shift_Hours,Total_Production,Production Type,Production Line,Supplier,Date,Production_Volume_Per_Hour,Timestamp_Hour,Department,Equipment_Age_Category,Shift_Category,Project_Complexity,Quality_Risk_Level,Energy_Efficiency_Level,Production_Flexibility,Supply_Chain_Resilience
-0.79,-0.31,-0.13,0.16,-0.2,0.24,-0.27, Precision Components,Line E,Apex Industrial Solutions,27/10/2023,-1.51,18,Maintenance,Medium,Medium,Moderate,Medium,Medium_Consumption,Moderate,Medium
-0.29,-1.17,-0.53,-0.89,-0.97,-0.81,-4.78, Electronics,Line A,Quantum Resource Group,07/02/2023,-9.43,13,Quality_Control,Old,Medium,Moderate,Medium,Low_Consumption,Rigid,Medium
-0.67,-0.3,-0.77,-0.03,-0.06,0.29,2.09, Electronics,Line A,Industrial Innovations LLC,21/12/2023,5.65,19,Logistics,Old,Medium,Moderate,Medium,Medium_Consumption,Moderate,Medium
-0.09,-0.11,0.36,-0.1,-0.01,-0.21,-0.06, Automotive Parts,Line B,Advanced Materials Inc.,19/08/2023,-0.08,5,Production,Medium,Medium,Moderate,Medium,Medium_Consumption,Moderate,Medium
0.31,0.27,0.74,0.06,0.37,0.68,0.59, Electronics,Line A,TechCore Suppliers,19/09/2023,0.77,7,Logistics,New,Medium,Moderate,Medium,Medium_Consumption,Moderate,Medium
-0.3,0.29,0.79,-0.18,0.25,0.2,-1.19, Electronics,Line A,Industrial Innovations LLC,09/03/2023,-2.52,6,Maintenance,New,Medium,Moderate,Medium,Medium_Consumption,Moderate,Medium
-0.15,0.19,-0.51,0.1,-0.6,-0.53,0.69, Electronics,Line A,NorthStar Manufacturing,28/06/2023,0.74,19,Maintenance,Old,Medium,Moderate,Medium,Medium_Consumption,Moderate,Medium
-2.45,-1.73,-2.27,-2.5,-2.32,-1.59,-11.6, Industrial Equipment,Line D,Advanced Materials Inc.,23/12/2023,12.83,17,Production,Old,Low,Simple,Low,Low_Consumption,Rigid,Low
0.72,0.02,0.03,0.27,0.86,0.45,2.01, Electronics,Line A,NorthStar Manufacturing,05/07/2023,1.87,17,Quality_Control,Medium,Medium,Moderate,Medium,Medium_Consumption,Moderate,Medium
0,-0.12,0.77,-0.09,-0.23,-0.13,1.9, Consumer Goods,Line C,Quantum Resource Group,20/07/2023,3.03,14,Maintenance,New,Medium,Moderate,Medium,Medium_Consumption,Moderate,Medium
0.39,0.25,-0.35,0.02,-0.17,0.16,-0.64, Precision Components,Line E,MegaManufacturing Resources,13/01/2023,-0.41,19,Maintenance,Medium,Medium,Moderate,Medium,Medium_Consumption,Moderate,Medium
0.76,0.11,-0.43,-0.59,-0.54,-0.89,-1.43, Electronics,Line A,Apex Industrial Solutions,02/08/2023,-0.57,21,Maintenance,Old,Medium,Moderate,Medium,Medium_Consumption,Moderate,Medium
0.84,0.69,0.98,0.81,0.38,-0.14,2.89, Electronics,Line A,Apex Industrial Solutions,08/08/2023,1.88,18,Maintenance,New,Medium,Moderate,Medium,Medium_Consumption,Moderate,Medium
0.93,0.15,0.88,0.67,-0.22,0.68,3.82, Electronics,Line A,TechCore Suppliers,13/10/2023,1.39,21,Logistics,New,Medium,Moderate,Medium,Medium_Consumption,Moderate,Medium
0.31,0.5,0.59,1.03,0.17,0.81,3.89, Consumer Goods,Line C,Precision Parts Supply,01/09/2023,2.38,20,Logistics,New,High,Complex,Medium,Medium_Consumption,Moderate,High
0.29,-0.37,-0.25,0.56,0.11,0.63,0.45, Electronics,Line A,Quantum Resource Group,22/12/2023,0.28,20,Quality_Control,Medium,Medium,Moderate,Medium,Medium_Consumption,Moderate,Medium
0.26,0.97,0.65,0.03,0,1.01,2.52, Electronics,Line A,Industrial Innovations LLC,15/09/2023,1.6,1,Production,New,High,Moderate,Medium,Medium_Consumption,Flexible,Medium
0.3,1.29,0.5,0.3,0.12,0.24,1.56, Precision Components,Line E,Quantum Resource Group,27/02/2023,2.04,7,Production,New,Medium,Moderate,Medium,Medium_Consumption,Flexible,Medium
-0.44,-0.16,-0.3,-0.46,-1.25,-0.68,-5.36, Consumer Goods,Line C,Industrial Innovations LLC,05/02/2023,-7.66,20,Production,Medium,Medium,Moderate,Medium,Low_Consumption,Moderate,Medium
-1.08,-1.03,-1.17,-1.74,-1.54,-1.15,-5.89, Consumer Goods,Line C,Quantum Resource Group,24/11/2023,152.52,10,Maintenance,Old,Low,Simple,Low,Low_Consumption,Moderate,Low
-0.72,-0.04,-0.49,-0.3,-0.33,-0.18,1.67, Electronics,Line A,MegaManufacturing Resources,12/07/2023,9.42,17,Logistics,Old,Medium,Moderate,Medium,Medium_Consumption,Moderate,Medium
0.96,2.07,1.12,1.42,1.08,0.95,4.63, Consumer Goods,Line C,EuroTrade Supplies,29/11/2023,1.42,22,Logistics,New,High,Complex,High,Medium_Consumption,Flexible,High
0.23,0.2,-0.23,-0.41,-0.73,-0.44,-2.53, Automotive Parts,Line B,Precision Parts Supply,19/02/2023,-3.08,12,Quality_Control,Medium,Medium,Moderate,Medium,Medium_Consumption,Moderate,Medium
0.47,0.23,0.94,0.27,0.44,0.15,0.51, Consumer Goods,Line C,Industrial Innovations LLC,01/02/2023,0.62,8,Production,New,Medium,Moderate,Medium,Medium_Consumption,Moderate,Medium
-1.59,-1.31,-1.15,-1.27,-1.08,-0.29,-4.17, Consumer Goods,Line C,Precision Parts Supply,08/04/2023,12.7,8,Logistics,Old,Medium,Simple,Low,Low_Consumption,Rigid,Low
1.78,0.26,0.47,0.05,0.21,0.38,3.4, Consumer Goods,Line C,Advanced Materials Inc.,12/02/2023,2.2,16,Quality_Control,New,Medium,Moderate,Medium,Medium_Consumption,Moderate,Medium
1.26,0.87,0.91,1.3,0.92,0.46,4.4, Industrial Equipment,Line D,Quantum Resource Group,17/12/2023,2.93,6,Production,New,Medium,Complex,Medium,Medium_Consumption,Moderate,High
-0.71,-0.87,-0.05,-0.48,-0.23,-1.31,-4.66, Industrial Equipment,Line D,TechCore Suppliers,30/11/2023,-29.03,8,Maintenance,Medium,Low,Moderate,Medium,Medium_Consumption,Moderate,Medium
0.13,0.09,-0.31,0.53,0,-0.2,0.35, Industrial Equipment,Line D,GlobalTech Components,06/11/2023,0.22,21,Logistics,Medium,Medium,Moderate,Medium,Medium_Consumption,Moderate,Medium
0.28,0.46,0.16,0.04,-0.38,-0.1,-2.42, Consumer Goods,Line C,Advanced Materials Inc.,16/02/2023,-2.28,0,Logistics,Medium,Medium,Moderate,Medium,Medium_Consumption,Moderate,Medium
-0.32,-0.16,-0.72,-0.35,-1.13,-0.91,-2.72, Automotive Parts,Line B,NorthStar Manufacturing,27/09/2023,-3.18,1,Production,Old,Medium,Moderate,Medium,Low_Consumption,Moderate,Medium
1.47,0.63,0.87,0.28,0.36,0.19,4.69, Consumer Goods,Line C,Apex Industrial Solutions,07/11/2023,1.14,3,Maintenance,New,Medium,Moderate,Medium,Medium_Consumption,Moderate,Medium
-0.54,-1.39,-0.59,-1.33,-0.1,-0.75,-6.09, Electronics,Line A,GlobalTech Components,04/03/2023,-18.34,13,Maintenance,Old,Medium,Simple,Medium,Medium_Consumption,Rigid,Low
1.49,1.77,1.54,1.63,1.49,0.93,4.52, Automotive Parts,Line B,MegaManufacturing Resources,19/01/2023,1.09,3,Logistics,New,High,Complex,High,High_Consumption,Flexible,High
-0.8,0.06,0.3,0.25,0.21,-0.04,2.82, Industrial Equipment,Line D,Quantum Resource Group,13/12/2023,11.24,1,Production,Medium,Medium,Moderate,Medium,Medium_Consumption,Moderate,Medium
-0.65,-0.87,-0.28,0.01,0.51,0.09,-2.05, Precision Components,Line E,EuroTrade Supplies,11/04/2023,-10.09,7,Quality_Control,Medium,Medium,Moderate,Medium,Medium_Consumption,Moderate,Medium
-1.47,-1.39,-1.81,-1.77,-2.25,-1.36,-6.22, Automotive Parts,Line B,MegaManufacturing Resources,06/02/2023,21.39,17,Logistics,Old,Low,Simple,Low,Low_Consumption,Rigid,Low
-0.48,-0.07,0.18,0.08,-0.24,0.19,-0.54, Industrial Equipment,Line D,Industrial Innovations LLC,17/04/2023,-1.24,18,Maintenance,Medium,Medium,Moderate,Medium,Medium_Consumption,Moderate,Medium
-1.45,-0.9,-0.32,-1.31,-1.23,-0.65,-5.09, Automotive Parts,Line B,GlobalTech Components,02/04/2023,15.84,13,Quality_Control,Medium,Medium,Simple,Medium,Low_Consumption,Moderate,Low
-1.3,-1.76,-1.81,-1.58,-1.64,-1.6,-7.2, Automotive Parts,Line B,Apex Industrial Solutions,04/11/2023,21.74,19,Production,Old,Low,Simple,Low,Low_Consumption,Rigid,Low
-1.11,0.04,-0.61,-0.53,-0.82,0.1,-3.99, Consumer Goods,Line C,TechCore Suppliers,04/07/2023,72.12,9,Maintenance,Old,Medium,Moderate,Medium,Medium_Consumption,Moderate,Medium
0.09,-0.21,0.35,-0.39,0.26,-0.3,0.07, Electronics,Line A,EuroTrade Supplies,04/08/2023,0.11,16,Quality_Control,Medium,Medium,Moderate,Medium,Medium_Consumption,Moderate,Medium
-0.35,0.27,-0.81,-0.62,-0.02,-0.7,-2.58, Precision Components,Line E,Precision Parts Supply,28/01/2023,-6.69,7,Logistics,Old,Medium,Moderate,Medium,Medium_Consumption,Moderate,Medium
-0.1,-0.03,0.5,-0.36,-0.71,-0.54,-3.38, Industrial Equipment,Line D,Quantum Resource Group,05/02/2023,-5.26,13,Maintenance,New,Medium,Moderate,Medium,Medium_Consumption,Moderate,Medium
0.6,-0.13,0.69,0.23,-0.56,0.15,1.45, Automotive Parts,Line B,Industrial Innovations LLC,16/11/2023,0.73,20,Production,New,Medium,Moderate,Medium,Medium_Consumption,Moderate,Medium
0.57,0.78,0.67,0.52,0.7,0.26,2.39, Precision Components,Line E,Quantum Resource Group,18/01/2023,0.91,22,Maintenance,New,Medium,Moderate,Medium,Medium_Consumption,Moderate,Medium
0.35,0.35,0.48,-0.83,0.08,-0.26,-0.16, Automotive Parts,Line B,MegaManufacturing Resources,11/12/2023,-0.2,7,Logistics,New,Medium,Moderate,Medium,Medium_Consumption,Moderate,Medium
-1.3,-1.88,-1.25,-0.55,-0.61,-0.87,-7.45, Electronics,Line A,GlobalTech Components,15/07/2023,12.6,4,Production,Old,Medium,Moderate,Low,Medium_Consumption,Rigid,Medium
0.45,0.72,0.43,0.11,0.56,0.36,4.99, Precision Components,Line E,MegaManufacturing Resources,19/03/2023,5.86,15,Logistics,Medium,Medium,Moderate,Medium,Medium_Consumption,Moderate,Medium
-0.74,-1.23,-1.2,-1.02,-1.2,-0.17,-2.97, Industrial Equipment,Line D,GlobalTech Components,16/06/2023,-19.59,7,Quality_Control,Old,Medium,Moderate,Low,Low_Consumption,Rigid,Medium
-0.14,0.84,-0.04,0.44,0.23,0.61,3.31, Automotive Parts,Line B,TechCore Suppliers,31/03/2023,7.33,9,Maintenance,Medium,Medium,Moderate,Medium,Medium_Consumption,Moderate,Medium
-0.77,-0.97,-1.02,-1.03,-0.98,-0.98,-5.29, Electronics,Line A,Apex Industrial Solutions,21/09/2023,-39.94,7,Logistics,Old,Medium,Moderate,Medium,Low_Consumption,Moderate,Medium
-0.77,-0.56,-0.33,-1.14,-0.4,-0.86,-6.45, Precision Components,Line E,Precision Parts Supply,27/07/2023,-50.1,8,Quality_Control,Medium,Medium,Simple,Medium,Medium_Consumption,Moderate,Low
-0.39,-1.54,0.11,-1.22,-1.33,-0.73,-0.64, Automotive Parts,Line B,TechCore Suppliers,31/07/2023,-1.7,17,Production,Medium,Medium,Simple,Medium,Low_Consumption,Rigid,Low
-1.23,-1.66,-0.88,-0.41,-1.03,-1.01,-5.2, Automotive Parts,Line B,Advanced Materials Inc.,28/09/2023,15.85,2,Production,Old,Medium,Moderate,Medium,Low_Consumption,Rigid,Medium
-0.01,0.39,0.37,0.3,-0.01,0.02,-0.47, Industrial Equipment,Line D,Apex Industrial Solutions,20/09/2023,-0.85,16,Quality_Control,Medium,Medium,Moderate,Medium,Medium_Consumption,Moderate,Medium
-2.46,-1.95,-2.26,-2.12,-2.7,-1.95,-10.31, Electronics,Line A,TechCore Suppliers,30/09/2023,6.35,19,Quality_Control,Old,Low,Simple,Low,Low_Consumption,Rigid,Low
-1.03,-1.08,0.13,-0.65,-0.34,-0.61,-0.83, Consumer Goods,Line C,EuroTrade Supplies,08/12/2023,43.57,14,Production,Medium,Medium,Moderate,Medium,Medium_Consumption,Moderate,Medium
-0.01,0.28,0.27,-0.05,-0.43,0.3,0.28, Automotive Parts,Line B,Quantum Resource Group,02/08/2023,0.22,20,Logistics,Medium,Medium,Moderate,Medium,Medium_Consumption,Moderate,Medium
0.55,0.1,0.8,0.29,-0.25,-0.1,3.44, Precision Components,Line E,MegaManufacturing Resources,05/03/2023,4,16,Quality_Control,New,Medium,Moderate,Medium,Medium_Consumption,Moderate,Medium
0.72,0.61,0.2,0.19,0.02,-0.05,3.3, Industrial Equipment,Line D,Apex Industrial Solutions,12/01/2023,3.25,7,Logistics,Medium,Medium,Moderate,Medium,Medium_Consumption,Moderate,Medium
0.43,0.59,1.61,0.88,1.85,0.76,3.11, Industrial Equipment,Line D,EuroTrade Supplies,29/07/2023,1.74,1,Production,New,High,Moderate,High,High_Consumption,Moderate,Medium
-0.3,0.53,0.75,1.48,0.55,0.52,1.71, Automotive Parts,Line B,MegaManufacturing Resources,08/11/2023,4.43,16,Logistics,New,Medium,Complex,Medium,Medium_Consumption,Moderate,High
-0.97,-0.34,-2.08,-1.22,-0.22,-0.65,-2.86, Automotive Parts,Line B,Advanced Materials Inc.,23/06/2023,-141.96,17,Logistics,Old,Medium,Simple,Low,Medium_Consumption,Moderate,Low
-0.5,-0.22,-0.58,-0.96,-1.82,-1.62,-9.58, Automotive Parts,Line B,NorthStar Manufacturing,13/09/2023,-9.62,4,Quality_Control,Old,Low,Moderate,Medium,Low_Consumption,Moderate,Medium
-0.59,-0.66,-0.74,-0.71,-0.58,-0.96,-3.78, Consumer Goods,Line C,Apex Industrial Solutions,11/04/2023,-16.53,8,Logistics,Old,Medium,Moderate,Medium,Medium_Consumption,Moderate,Medium
1.89,1.11,1.39,1.85,1.4,1.83,5.26, Automotive Parts,Line B,EuroTrade Supplies,16/01/2023,3.27,8,Logistics,New,High,Complex,High,High_Consumption,Flexible,High
-1.33,-0.96,-1.4,-0.71,-0.26,-0.5,-5.1, Electronics,Line A,MegaManufacturing Resources,16/07/2023,12.51,1,Logistics,Old,Medium,Moderate,Low,Medium_Consumption,Moderate,Medium
-0.56,-1.15,-0.39,-0.31,-0.22,-0.46,-3.05, Precision Components,Line E,MegaManufacturing Resources,15/09/2023,-5.58,1,Production,Medium,Medium,Moderate,Medium,Medium_Consumption,Rigid,Medium
1.49,1.67,1.36,1.79,1.12,1.47,6.69, Automotive Parts,Line B,TechCore Suppliers,01/09/2023,3.22,18,Production,New,High,Complex,High,Medium_Consumption,Flexible,High
-0.38,-0.05,-0.15,-0.06,-0.06,-0.01,-1.57, Consumer Goods,Line C,GlobalTech Components,14/12/2023,-1.52,22,Maintenance,Medium,Medium,Moderate,Medium,Medium_Consumption,Moderate,Medium
0.36,0.98,-0.13,0.68,1.2,0.82,1.22, Precision Components,Line E,TechCore Suppliers,06/09/2023,0.63,2,Production,Medium,High,Moderate,Medium,High_Consumption,Flexible,Medium
0.77,1.2,0.31,0.78,0.56,0.4,7.37, Industrial Equipment,Line D,EuroTrade Supplies,15/04/2023,7.48,16,Production,Medium,Medium,Moderate,Medium,Medium_Consumption,Flexible,Medium
1.59,1.29,0.44,0.56,0.17,0.65,7.19, Automotive Parts,Line B,Industrial Innovations LLC,01/07/2023,3.88,13,Maintenance,New,Medium,Moderate,Medium,Medium_Consumption,Flexible,Medium
0.13,0.01,0.21,0.58,-0.36,0.46,-1.2, Precision Components,Line E,Quantum Resource Group,04/06/2023,-1.48,13,Maintenance,Medium,Medium,Moderate,Medium,Medium_Consumption,Moderate,Medium
-0.39,0.88,-0.05,1.2,0.66,0.78,5.35, Industrial Equipment,Line D,Apex Industrial Solutions,14/10/2023,12.24,13,Quality_Control,Medium,High,Complex,Medium,Medium_Consumption,Flexible,High
-2.11,-1.17,-1.66,-1.48,-1.4,-1.58,-8.47, Consumer Goods,Line C,TechCore Suppliers,18/06/2023,8.41,5,Quality_Control,Old,Low,Simple,Low,Low_Consumption,Rigid,Low
0.54,-0.03,0.56,0.39,0.94,0.86,2.94, Electronics,Line A,MegaManufacturing Resources,16/02/2023,1.33,2,Production,New,High,Moderate,Medium,Medium_Consumption,Moderate,Medium
-0.89,-0.36,-0.5,0.31,0.42,-0.33,-1.23, Automotive Parts,Line B,MegaManufacturing Resources,12/02/2023,-12.88,0,Logistics,Old,Medium,Moderate,Medium,Medium_Consumption,Moderate,Medium
-1.87,-1.23,-0.78,-0.87,-0.82,-1.32,-6.85, Electronics,Line A,NorthStar Manufacturing,17/11/2023,13.45,15,Quality_Control,Old,Low,Moderate,Medium,Medium_Consumption,Rigid,Medium
-0.41,-0.68,-0.14,-0.88,-0.35,-0.66,-0.8, Consumer Goods,Line C,Apex Industrial Solutions,02/11/2023,-0.81,3,Quality_Control,Medium,Medium,Moderate,Medium,Medium_Consumption,Moderate,Medium
-0.32,0.24,-0.19,0.16,-0.01,0.74,0.75, Precision Components,Line E,NorthStar Manufacturing,09/08/2023,1.32,0,Production,Medium,High,Moderate,Medium,Medium_Consumption,Moderate,Medium
0.6,1.06,1.63,0.93,0.5,1.39,4.22, Precision Components,Line E,Quantum Resource Group,01/01/2023,4.75,16,Logistics,New,High,Complex,High,Medium_Consumption,Flexible,High
-0.28,-0.32,-0.08,-0.02,-0.42,0.05,-3.2, Consumer Goods,Line C,Advanced Materials Inc.,19/07/2023,-7.13,17,Maintenance,Medium,Medium,Moderate,Medium,Medium_Consumption,Moderate,Medium
0.53,0.6,0.08,0.4,1.68,1.1,2, Consumer Goods,Line C,TechCore Suppliers,24/05/2023,2.22,7,Maintenance,Medium,High,Moderate,Medium,High_Consumption,Moderate,Medium
0.29,0.45,-0.46,-0.6,-0.91,-0.91,-4.75, Automotive Parts,Line B,Precision Parts Supply,28/01/2023,-2.94,1,Production,Old,Medium,Moderate,Medium,Low_Consumption,Moderate,Medium
-1.02,-0.87,-0.96,-0.5,-0.85,-0.95,-4.22, Industrial Equipment,Line D,EuroTrade Supplies,08/12/2023,362.28,17,Production,Old,Medium,Moderate,Medium,Medium_Consumption,Moderate,Medium
-0.01,-0.25,0.45,0.24,0.31,0.22,-1.32, Electronics,Line A,EuroTrade Supplies,04/12/2023,-2.26,15,Logistics,New,Medium,Moderate,Medium,Medium_Consumption,Moderate,Medium
-1.02,-0.66,-0.99,-1.12,-1.51,-0.77,-5.46, Electronics,Line A,Advanced Materials Inc.,05/10/2023,638.14,9,Production,Old,Medium,Simple,Medium,Low_Consumption,Moderate,Low
-0.17,-0.43,-0.36,0.07,0.48,0.35,2.41, Precision Components,Line E,Apex Industrial Solutions,10/02/2023,4.96,7,Production,Medium,Medium,Moderate,Medium,Medium_Consumption,Moderate,Medium
0.03,0.31,-0.03,-0.57,0.15,-0.19,1.87, Precision Components,Line E,TechCore Suppliers,28/11/2023,3.45,11,Production,Medium,Medium,Moderate,Medium,Medium_Consumption,Moderate,Medium
0.87,0.94,0.55,0.93,0.44,1.52,4.3, Automotive Parts,Line B,Quantum Resource Group,27/05/2023,1.6,21,Logistics,New,High,Complex,Medium,Medium_Consumption,Flexible,High
0.73,0.43,0.23,0.09,0.05,-0.33,0.81, Consumer Goods,Line C,GlobalTech Components,11/12/2023,0.8,15,Production,Medium,Medium,Moderate,Medium,Medium_Consumption,Moderate,Medium
0.37,0.35,0.4,0.59,0.03,0.42,5.16, Electronics,Line A,NorthStar Manufacturing,27/06/2023,7.14,11,Quality_Control,Medium,Medium,Moderate,Medium,Medium_Consumption,Moderate,Medium
-1.04,-1.04,-1.95,-0.79,-0.16,-0.33,-3.46, Automotive Parts,Line B,Advanced Materials Inc.,11/11/2023,169.76,10,Logistics,Old,Medium,Moderate,Low,Medium_Consumption,Moderate,Medium
0.24,1.05,1.21,0.79,2,1.23,4.77, Precision Components,Line E,GlobalTech Components,21/11/2023,3.45,19,Quality_Control,New,High,Moderate,High,High_Consumption,Flexible,Medium
0.85,0.56,0.01,0.54,0.4,0.71,-0.03, Precision Components,Line E,NorthStar Manufacturing,16/06/2023,-0.02,18,Logistics,Medium,Medium,Moderate,Medium,Medium_Consumption,Moderate,Medium
-0.61,-0.28,0.32,-0.18,0.21,-0.14,0.15, Electronics,Line A,Advanced Materials Inc.,03/05/2023,0.47,0,Quality_Control,Medium,Medium,Moderate,Medium,Medium_Consumption,Moderate,Medium
-0.15,0.77,0.04,0.33,1.13,0.35,3.47, Precision Components,Line E,EuroTrade Supplies,15/03/2023,2.87,2,Logistics,Medium,Medium,Moderate,Medium,Medium_Consumption,Moderate,Medium
-1.46,-1.23,-1.89,-0.89,-1.51,-1.25,-7.92, Precision Components,Line E,EuroTrade Supplies,27/08/2023,32.39,11,Maintenance,Old,Low,Moderate,Low,Low_Consumption,Rigid,Medium
-1.06,-0.84,0.18,-0.51,-0.82,-0.76,-2.58, Industrial Equipment,Line D,MegaManufacturing Resources,06/09/2023,83.19,8,Production,Medium,Medium,Moderate,Medium,Medium_Consumption,Moderate,Medium
-0.55,-1.04,-1.01,-1.62,-1.53,-1.51,-6.63, Consumer Goods,Line C,NorthStar Manufacturing,20/09/2023,-11.88,20,Production,Old,Low,Simple,Medium,Low_Consumption,Moderate,Low
-1.73,-1.77,-2.13,-2,-1.47,-2.15,-9.63, Precision Components,Line E,Precision Parts Supply,09/09/2023,9.24,21,Logistics,Old,Low,Simple,Low,Low_Consumption,Rigid,Low
-1.25,-1.15,-1.41,-1.14,-1.31,-0.47,-9.95, Industrial Equipment,Line D,Quantum Resource Group,23/12/2023,20.1,4,Quality_Control,Old,Medium,Simple,Low,Low_Consumption,Rigid,Low
-1.18,-0.69,-1.6,-0.96,-0.63,-0.52,-5, Automotive Parts,Line B,Industrial Innovations LLC,21/04/2023,33.37,0,Maintenance,Old,Medium,Moderate,Low,Medium_Consumption,Moderate,Medium
-1.5,-0.51,-1.53,-0.93,-1.45,-1.52,-4.43, Precision Components,Line E,Apex Industrial Solutions,29/06/2023,16.76,9,Quality_Control,Old,Low,Moderate,Low,Low_Consumption,Moderate,Medium
-0.34,0.17,0.35,0.21,-0.48,-0.25,-1.39, Automotive Parts,Line B,Apex Industrial Solutions,07/07/2023,-3.8,16,Production,Medium,Medium,Moderate,Medium,Medium_Consumption,Moderate,Medium
0.57,-0.37,0.6,-0.23,0.37,1.11,1.85, Precision Components,Line E,NorthStar Manufacturing,04/11/2023,0.71,3,Production,New,High,Moderate,Medium,Medium_Consumption,Moderate,Medium
-0.12,0.45,0.32,0.02,0.17,0.41,-0.33, Electronics,Line A,Advanced Materials Inc.,26/07/2023,-0.61,14,Quality_Control,Medium,Medium,Moderate,Medium,Medium_Consumption,Moderate,Medium
-0.03,0.66,-0.12,0.26,-0.14,0.3,1.4, Industrial Equipment,Line D,Advanced Materials Inc.,22/08/2023,1.73,18,Logistics,Medium,Medium,Moderate,Medium,Medium_Consumption,Moderate,Medium
-0.02,-0.69,-0.3,-0.96,-0.83,-0.88,-3.42, Industrial Equipment,Line D,Industrial Innovations LLC,24/01/2023,-5.93,7,Logistics,Medium,Medium,Moderate,Medium,Medium_Consumption,Moderate,Medium
0.45,0.59,0.82,0.9,-0.03,0.23,0.76, Electronics,Line A,Quantum Resource Group,26/01/2023,0.31,22,Quality_Control,New,Medium,Moderate,Medium,Medium_Consumption,Moderate,Medium
0.84,-0.15,0.27,-0.47,-1,-0.81,1.31, Consumer Goods,Line C,TechCore Suppliers,06/08/2023,1.13,14,Production,Medium,Medium,Moderate,Medium,Low_Consumption,Moderate,Medium
-0.7,-1.38,-1.06,-1.5,-1.14,-1.42,-4.26, Industrial Equipment,Line D,Quantum Resource Group,12/12/2023,-20.99,6,Quality_Control,Old,Low,Simple,Low,Low_Consumption,Rigid,Low
0.38,0.8,0.82,0.89,0.5,-0.16,1.55, Automotive Parts,Line B,TechCore Suppliers,10/01/2023,1.8,14,Production,New,Medium,Moderate,Medium,Medium_Consumption,Moderate,Medium
-1.24,-1.29,-1.29,-0.84,-0.94,-1.1,-4.63, Industrial Equipment,Line D,Industrial Innovations LLC,17/01/2023,32.27,7,Quality_Control,Old,Low,Moderate,Low,Low_Consumption,Rigid,Medium
0.47,0.08,0.01,-0.17,-0.01,0.32,1.54, Consumer Goods,Line C,TechCore Suppliers,02/09/2023,0.63,22,Logistics,Medium,Medium,Moderate,Medium,Medium_Consumption,Moderate,Medium
-1.89,-1.34,-1.76,-1.81,-0.98,-1.88,-6.85, Automotive Parts,Line B,Precision Parts Supply,25/07/2023,14.61,9,Maintenance,Old,Low,Simple,Low,Low_Consumption,Rigid,Low
1.42,2.41,0.83,1.49,1.23,1.16,3.93, Automotive Parts,Line B,MegaManufacturing Resources,15/09/2023,2.6,17,Production,New,High,Complex,Medium,High_Consumption,Flexible,High
-1.37,-0.56,-0.89,-1.48,-2.3,-2.02,-5.32, Electronics,Line A,Quantum Resource Group,22/04/2023,8.65,3,Maintenance,Old,Low,Simple,Medium,Low_Consumption,Moderate,Low
-0.74,-0.85,-0.97,-0.83,-0.47,-0.49,-4.6, Precision Components,Line E,TechCore Suppliers,24/07/2023,-28.22,14,Logistics,Old,Medium,Moderate,Medium,Medium_Consumption,Moderate,Medium
-0.59,-0.01,-0.96,-0.6,-0.63,-1.11,-3.9, Electronics,Line A,EuroTrade Supplies,27/01/2023,-19.25,10,Quality_Control,Old,Low,Moderate,Medium,Medium_Consumption,Moderate,Medium
0.05,0.21,0.81,0.78,0.67,1.47,8.06, Precision Components,Line E,Precision Parts Supply,12/03/2023,5.37,21,Logistics,New,High,Moderate,Medium,Medium_Consumption,Moderate,Medium
1.21,1.62,1.27,0.71,0.71,0.22,5.22, Electronics,Line A,Quantum Resource Group,25/06/2023,1.66,2,Maintenance,New,Medium,Moderate,High,Medium_Consumption,Flexible,Medium
0.07,1.16,0.7,0.22,0.29,-0.37,0.97, Precision Components,Line E,TechCore Suppliers,21/07/2023,1.45,14,Logistics,New,Medium,Moderate,Medium,Medium_Consumption,Flexible,Medium
-0.72,-0.48,0.01,-0.28,0.6,0.08,-4.6, Industrial Equipment,Line D,EuroTrade Supplies,05/09/2023,-11.7,2,Logistics,Medium,Medium,Moderate,Medium,Medium_Consumption,Moderate,Medium
0.12,-1.58,-0.53,-0.16,-0.56,-0.16,0.18, Automotive Parts,Line B,Industrial Innovations LLC,28/04/2023,0.26,14,Quality_Control,Old,Medium,Moderate,Medium,Medium_Consumption,Rigid,Medium
-1.62,-1.56,-1.94,-1.37,-1.29,-1.52,-10.08, Precision Components,Line E,Industrial Innovations LLC,09/01/2023,17.96,5,Maintenance,Old,Low,Simple,Low,Low_Consumption,Rigid,Low
-0.23,-0.48,-0.78,-0.93,-0.66,-1.2,-5.34, Industrial Equipment,Line D,NorthStar Manufacturing,27/03/2023,-8.28,0,Maintenance,Old,Low,Moderate,Medium,Medium_Consumption,Moderate,Medium
0.28,0.13,0.8,-0.04,-0.15,0.26,0.48, Consumer Goods,Line C,Apex Industrial Solutions,23/01/2023,0.53,13,Maintenance,New,Medium,Moderate,Medium,Medium_Consumption,Moderate,Medium
0.02,0.06,-0.73,-0.22,0.17,0.83,2.65, Electronics,Line A,GlobalTech Components,28/08/2023,4.42,15,Production,Old,High,Moderate,Medium,Medium_Consumption,Moderate,Medium
